"Spec"	"Species names"	"BodyMass"	"sessile/mobile"	"Cluster"	"Shore Height 1 conservative"	"ShoreHt_C_Ordinal"	"ShoreHt_C_Breadth"	"Shore Height 2 restrictive"	"ShoreHt_R_Ordinal"	"ShortHt_R_Breadth"	"Phyllum"	"subphyllum"	"trophic"
"1"	1	"acanthina monodon"	8	"M"	4	"mid, low"	1.5	2	"low"	1	1	"Mollusca"	"Gastropoda"	"Predator"
"2"	2	"acanthocyclus gayi"	6.01	"M"	1	"mid, low"	1.5	2	"mid, low"	1.5	2	"Arthropoda"	"Crustacae"	"Predator"
"3"	3	"acanthocyclus hassleri"	6.65	"M"	1	"mid, low"	1.5	2	"mid"	2	1	"Arthropoda"	"Crustacae"	"Predator"
"4"	4	"acanthopleura echinata"	5.1	"M"	7	"low"	1	1	"low"	1	1	"Mollusca"	"Polyplacophora"	"Herbivore"
"5"	5	"chaetopleura peruviana"	0.18	"M"	7	"low"	1	1	"low"	1	1	"Mollusca"	"Polyplacophora"	"Herbivore"
"6"	6	"chiton  cummingsi"	8.23	"M"	7	"low"	1	1	"low"	1	1	"Mollusca"	"Polyplacophora"	"Herbivore"
"7"	7	"chiton  granosus"	2.3	"M"	7	"mid, low"	1.5	2	"mid"	2	1	"Mollusca"	"Polyplacophora"	"Herbivore"
"8"	8	"chiton  latus"	0.06	"M"	7	"mid, low"	1.5	2	"mid"	2	1	"Mollusca"	"Polyplacophora"	"Herbivore"
"9"	9	"lottia  orbignyi"	0.02	"M"	9	"high, mid"	2.5	2	"high, mid"	2.5	2	"Mollusca"	"Gastropoda"	"Herbivore"
"10"	10	"concholepas concholepas"	2.3	"M"	1	"mid, low"	1.5	2	"low"	1	1	"Mollusca"	"Gastropoda"	"Predator"
"11"	11	"enoplochiton  niger"	6	"M"	7	"low"	1	1	"low"	1	1	"Mollusca"	"Polyplacophora"	"Herbivore"
"12"	12	"fissurella  costata"	49.03	"M"	7	"low"	1	1	"low"	1	1	"Mollusca"	"Gastropoda"	"Herbivore"
"13"	13	"fissurella  crassa"	15.2	"M"	7	"mid, low"	1.5	2	"mid"	2	1	"Mollusca"	"Gastropoda"	"Herbivore"
"14"	14	"fissurella  cummingi"	18	"M"	14	"low"	1	1	"low"	1	1	"Mollusca"	"Gastropoda"	"Herbivore"
"15"	15	"fissurella  limbata"	16.45	"M"	7	"low"	1	1	"low"	1	1	"Mollusca"	"Gastropoda"	"Herbivore"
"16"	16	"fissurella  maxima"	11	"M"	14	"low"	1	1	"low"	1	1	"Mollusca"	"Gastropoda"	"Herbivore"
"17"	17	"fissurella  picta"	15	"M"	14	"low"	1	1	"low"	1	1	"Mollusca"	"Gastropoda"	"Herbivore"
"18"	18	"fissurella  puhlcra"	15	"M"	14	"low"	1	1	"low"	1	1	"Mollusca"	"Gastropoda"	"Herbivore"
"19"	19	"heliaster helianthus"	173.46	"M"	1	"mid, low"	1.5	2	"low"	1	1	"Echinodermata"	"Asteroidea"	"Predator"
"20"	20	"scurria  araucana"	0.02	"M"	9	"high, mid, low"	2	3	"high, mid"	2.5	2	"Mollusca"	"Gastropoda"	"Herbivore"
"21"	22	"scurria  ceciliana"	0.045	"M"	9	"high, mid"	2.5	2	"high, mid"	2.5	2	"Mollusca"	"Gastropoda"	"Herbivore"
"22"	25	"scurria  plana"	0.03	"M"	9	"low"	1	1	"low"	1	1	"Mollusca"	"Gastropoda"	"Herbivore"
"23"	26	"scurria scurra"	1.27	"M"	9	"low"	1	1	"low"	1	1	"Mollusca"	"Gastropoda"	"Herbivore"
"24"	27	"scurria variabilis"	0.3	"M"	9	"mid, low"	1.5	2	"mid"	2	1	"Mollusca"	"Gastropoda"	"Herbivore"
"25"	28	"scurria viridula"	1.84	"M"	9	"high, mid, low"	2	3	"mid"	2	1	"Mollusca"	"Gastropoda"	"Herbivore"
"26"	29	"scurria zebrina"	2.97	"M"	14	"high, mid"	2.5	2	"high"	3	1	"Mollusca"	"Gastropoda"	"Herbivore"
"27"	30	"siphonaria lesoni"	0.018	"M"	14	"high, mid"	2.5	2	"high"	3	1	"Mollusca"	"Gastropoda"	"Herbivore"
"28"	31	"stichaster striatus"	8.7	"M"	1	"low"	1	1	"low"	1	1	"Echinodermata"	"Asteroidea"	"Omnivore"
"29"	32	"tegula atra"	1	"M"	9	"low"	1	1	"low"	1	1	"Mollusca"	"Gastropoda"	"Herbivore"
"30"	33	"Tonicia lineolata"	6.14	"M"	14	"low"	1	1	"low"	1	1	"Mollusca"	"Polyplacophora"	"Herbivore"
"31"	34	"tonicia  chilensis"	6.14	"M"	14	"low"	1	1	"low"	1	1	"Mollusca"	"Polyplacophora"	"Herbivore"
"32"	35	"tonicia  elegans"	6.14	"M"	14	"low"	1	1	"low"	1	1	"Mollusca"	"Polyplacophora"	"Herbivore"
"33"	36	"adenocystis utricularis"	4	"S"	12	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Phaeophyta"	"Corticated"
"34"	37	"ahnfeltiopsis spp."	5.65	"S"	12	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Rhodophyta"	"Corticated"
"35"	38	"anthotoe spp."	10	"S"	2	"mid, low"	1.5	2	"mid, low"	1.5	2	"Cnidaria"	"Anthozoa"	"Scavenger"
"36"	39	"austromegabalanus psittacus"	0.95	"S"	13	"low"	1	1	"low"	1	1	"Arthropoda"	"Crustacae"	"FilterFeeder"
"37"	40	"balanus laevis"	0.05	"S"	6	"mid, low"	1.5	2	"low"	1	1	"Arthropoda"	"Crustacae"	"FilterFeeder"
"38"	41	"benthic_diatoms"	0.002	"S"	3	"high, mid, low"	2	3	"high, mid, low"	2	3	"Algae"	"Bacillariophacea"	"Ephemeral"
"39"	42	"brachidontes granulata"	0.08	"S"	4	"mid, low"	1.5	2	"mid, low"	1.5	2	"Mollusca"	"Bivalvia"	"FilterFeeder"
"40"	43	"bryopsis_spp"	0.25	"S"	11	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Chaetophyta"	"Ephemeral"
"41"	44	"bunodactis spp."	12	"S"	2	"mid, low"	1.5	2	"low"	1	1	"Cnidaria"	"Anthozoa"	"Scavenger"
"42"	45	"centroceras spp."	1.87	"S"	11	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Rhodophyta"	"Ephemeral"
"43"	46	"ceramium spp."	1.26	"S"	11	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Rhodophyta"	"Ephemeral"
"44"	47	"chaetomorpha_spp"	5.88	"S"	11	"mid, low"	1.5	2	"mid"	2	1	"Algae"	"Chaetophyta"	"Ephemeral"
"45"	48	"chondrus  canaliculatus"	0.68	"S"	12	"mid, low"	1.5	2	"mid, low"	1.5	2	"Algae"	"Rhodophyta"	"Corticated"
"46"	49	"cladophora spp."	3.5	"S"	11	"mid, low"	1.5	2	"mid"	2	1	"Algae"	"Chaetophyta"	"Ephemeral"
"47"	50	"codium dimorpha"	0.65	"S"	12	"mid, low"	1.5	2	"mid, low"	1.5	2	"Algae"	"Chaetophyta"	"Corticated"
